Alg_ID:0220111344	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:1.0, bLF:false, bPF:false, index_impl:Count, }	Dataset_Name:WIKI_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:53449	Time_Total:17137.224	Time_QS_Total:482.600	Time_TS_Total:16424.963	Time_SearchPerQuery:169.155	Time_Prepare_Data:1129.077	Time_Preprocess:0.0	Time_QS_Validation:456.985	Time_TS_Validation:16412.610	Time_BuildIndex:207.374	Time_QS_IndexFilter:13.292	Time_TS_IndexFilter:6.721	Num_Result:103	Num_QS_Result:103	Num_TS_Result:103	Num_QS_Retrieved:134	Num_TS_Retrieved:118	Num_QS_Verified:26845	Num_TS_Verified:14820	Len_SearchedAll:500	Len_IndexedAll:230584	Size_Index_InvList:918718	Size_Index_TransInvList:243523	Len_QS_Retrieved:4134	Len_TS_Retrieved:3579	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:467722	Len_TS_Verified:259237	Mem_Before_Index:216.146	Mem_After_Index:73.250	Space_Index:1162241	Num_InvFault:397	Num_QS_RecordFault:0	Num_TS_RecordFault:131	Num_TinvFault:391	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:3558929	Time_DataFactory.buildTokenIndex:338.835	Time_DataFactory.createRecordStore:278.777	Time_DataFactory.createRuleset:209.177	Time_QS_Pkduck:6.127	Time_SearchPerQuery_MAX:14513.888	Time_SearchPerQuery_MEAN:169.155	Time_SearchPerQuery_MIN:0.151	Time_SearchPerQuery_STD:1454.266	
Alg_ID:0220111402	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:1.0, bLF:false, bPF:false, index_impl:CountPosition, }	Dataset_Name:WIKI_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:53449	Time_Total:325.167	Time_QS_Total:29.167	Time_TS_Total:28.636	Time_SearchPerQuery:0.661	Time_Prepare_Data:912.515	Time_Preprocess:0.0	Time_QS_Validation:0.851	Time_TS_Validation:4.538	Time_BuildIndex:245.807	Time_QS_IndexFilter:24.320	Time_TS_IndexFilter:22.832	Num_Result:103	Num_QS_Result:103	Num_TS_Result:103	Num_QS_Retrieved:103	Num_TS_Retrieved:105	Num_QS_Verified:104	Num_TS_Verified:108	Len_SearchedAll:500	Len_IndexedAll:230584	Size_Index_InvList:1481979	Size_Index_TransInvList:454723	Len_QS_Retrieved:3011	Len_TS_Retrieved:581	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:519	Len_TS_Verified:590	Mem_Before_Index:221.103	Mem_After_Index:97.647	Space_Index:1936702	Num_InvFault:397	Num_QS_RecordFault:131	Num_TS_RecordFault:116	Num_TinvFault:391	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:3558929	Time_DataFactory.buildTokenIndex:241.848	Time_DataFactory.createRecordStore:272.121	Time_DataFactory.createRuleset:196.199	Time_QS_IndexFilter.getCommonTokenIdxLists:13.605	Time_QS_IndexFilter.getCommonTokenIdxLists.binarySearch:3.603	Time_QS_IndexFilter.getCommonTokenIdxLists.scan:1.493	Time_QS_IndexFilter.getRecord:2.700	Time_QS_IndexFilter.idxList.sort:0.858	Time_QS_IndexFilter.pruneSingleRecord:1.977	Time_QS_Pkduck:6.107	Time_SearchPerQuery_MAX:9.229	Time_SearchPerQuery_MEAN:0.661	Time_SearchPerQuery_MIN:0.175	Time_SearchPerQuery_STD:1.054	Time_TS_IndexFilter.findSegmentRanges:4.459	Time_TS_IndexFilter.getCommonTokenIdxLists:6.594	Time_TS_IndexFilter.getCommonTokenIdxLists.binarySearch:3.271	Time_TS_IndexFilter.getCommonTokenIdxLists.scan:1.130	Time_TS_IndexFilter.getIdxList:0.232	Time_TS_IndexFilter.getRecord:3.448	Time_TS_IndexFilter.sortIdxList:1.639	Time_TS_IndexFilter.splitRecord:2.404	TransLenLazyCalculator.Time_ComputeTransLen:0.805	
Alg_ID:0220111404	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:1.0, bLF:false, bPF:false, index_impl:Count, }	Dataset_Name:PUBMED_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:42783	Time_Total:385.208	Time_QS_Total:111.650	Time_TS_Total:79.569	Time_SearchPerQuery:1.982	Time_Prepare_Data:934.395	Time_Preprocess:0.0	Time_QS_Validation:87.464	Time_TS_Validation:69.567	Time_BuildIndex:173.217	Time_QS_IndexFilter:12.434	Time_TS_IndexFilter:7.359	Num_Result:101	Num_QS_Result:101	Num_TS_Result:101	Num_QS_Retrieved:117	Num_TS_Retrieved:105	Num_QS_Verified:12614	Num_TS_Verified:5250	Len_SearchedAll:500	Len_IndexedAll:209973	Size_Index_InvList:835912	Size_Index_TransInvList:46606	Len_QS_Retrieved:3193	Len_TS_Retrieved:2790	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:203744	Len_TS_Verified:106114	Mem_Before_Index:203.600	Mem_After_Index:40.578	Space_Index:882518	Num_InvFault:366	Num_QS_RecordFault:0	Num_TS_RecordFault:117	Num_TinvFault:372	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:2998380	Time_DataFactory.buildTokenIndex:286.576	Time_DataFactory.createRecordStore:240.183	Time_DataFactory.createRuleset:194.188	Time_QS_Pkduck:5.299	Time_SearchPerQuery_MAX:80.337	Time_SearchPerQuery_MEAN:1.982	Time_SearchPerQuery_MIN:0.125	Time_SearchPerQuery_STD:8.401	
Alg_ID:0220111405	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:1.0, bLF:false, bPF:false, index_impl:CountPosition, }	Dataset_Name:PUBMED_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:42783	Time_Total:5151.398	Time_QS_Total:26.629	Time_TS_Total:22.898	Time_SearchPerQuery:0.568	Time_Prepare_Data:841.528	Time_Preprocess:0.0	Time_QS_Validation:0.706	Time_TS_Validation:2.665	Time_BuildIndex:166.963	Time_QS_IndexFilter:22.011	Time_TS_IndexFilter:19.017	Num_Result:101	Num_QS_Result:101	Num_TS_Result:101	Num_QS_Retrieved:101	Num_TS_Retrieved:102	Num_QS_Verified:103	Num_TS_Verified:103	Len_SearchedAll:500	Len_IndexedAll:209973	Size_Index_InvList:1303839	Size_Index_TransInvList:99886	Len_QS_Retrieved:2660	Len_TS_Retrieved:531	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:515	Len_TS_Verified:532	Mem_Before_Index:200.377	Mem_After_Index:45.872	Space_Index:1403725	Num_InvFault:366	Num_QS_RecordFault:117	Num_TS_RecordFault:105	Num_TinvFault:372	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:2998380	Time_DataFactory.buildTokenIndex:228.013	Time_DataFactory.createRecordStore:240.971	Time_DataFactory.createRuleset:179.001	Time_QS_IndexFilter.getCommonTokenIdxLists:12.089	Time_QS_IndexFilter.getCommonTokenIdxLists.binarySearch:3.110	Time_QS_IndexFilter.getCommonTokenIdxLists.scan:1.279	Time_QS_IndexFilter.getRecord:2.436	Time_QS_IndexFilter.idxList.sort:0.757	Time_QS_IndexFilter.pruneSingleRecord:1.695	Time_QS_Pkduck:5.287	Time_SearchPerQuery_MAX:8.743	Time_SearchPerQuery_MEAN:0.568	Time_SearchPerQuery_MIN:0.168	Time_SearchPerQuery_STD:0.914	Time_TS_IndexFilter.findSegmentRanges:3.453	Time_TS_IndexFilter.getCommonTokenIdxLists:5.998	Time_TS_IndexFilter.getCommonTokenIdxLists.binarySearch:3.032	Time_TS_IndexFilter.getCommonTokenIdxLists.scan:1.085	Time_TS_IndexFilter.getIdxList:0.258	Time_TS_IndexFilter.getRecord:1.750	Time_TS_IndexFilter.sortIdxList:1.783	Time_TS_IndexFilter.splitRecord:2.318	TransLenLazyCalculator.Time_ComputeTransLen:0.555	
Alg_ID:0220151411	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:1.0, bLF:false, bPF:false, index_impl:CountPosition, }	Dataset_Name:AMAZON_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:41021	Time_Total:299.676	Time_QS_Total:41.866	Time_TS_Total:40.395	Time_SearchPerQuery:0.905	Time_Prepare_Data:840.592	Time_Preprocess:0.0	Time_QS_Validation:0.670	Time_TS_Validation:14.902	Time_BuildIndex:196.933	Time_QS_IndexFilter:37.517	Time_TS_IndexFilter:24.200	Num_Result:102	Num_QS_Result:102	Num_TS_Result:102	Num_QS_Retrieved:104	Num_TS_Retrieved:117	Num_QS_Verified:105	Num_TS_Verified:124	Len_SearchedAll:500	Len_IndexedAll:211919	Size_Index_InvList:1275647	Size_Index_TransInvList:446309	Len_QS_Retrieved:2721	Len_TS_Retrieved:675	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:522	Len_TS_Verified:710	Mem_Before_Index:183.116	Mem_After_Index:50.508	Space_Index:1721956	Num_InvFault:381	Num_QS_RecordFault:352	Num_TS_RecordFault:154	Num_TinvFault:394	RecordPool.deallocate:0.546	RecordPool.getSpace:0.596	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:3397048	Time_DataFactory.buildTokenIndex:226.283	Time_DataFactory.createRecordStore:260.764	Time_DataFactory.createRuleset:159.286	Time_QS_IndexFilter.getCommonTokenIdxLists:22.978	Time_QS_IndexFilter.getCommonTokenIdxLists.binarySearch:9.789	Time_QS_IndexFilter.getCommonTokenIdxLists.scan:5.379	Time_QS_IndexFilter.getRecord:4.387	Time_QS_IndexFilter.idxList.sort:1.162	Time_QS_IndexFilter.pruneSingleRecord:2.953	Time_QS_Pkduck:6.260	Time_SearchPerQuery_MAX:16.704	Time_SearchPerQuery_MEAN:0.905	Time_SearchPerQuery_MIN:0.145	Time_SearchPerQuery_STD:2.128	Time_TS_IndexFilter.findSegmentRanges:4.625	Time_TS_IndexFilter.getCommonTokenIdxLists:9.402	Time_TS_IndexFilter.getCommonTokenIdxLists.binarySearch:5.020	Time_TS_IndexFilter.getCommonTokenIdxLists.scan:1.981	Time_TS_IndexFilter.getIdxList:0.244	Time_TS_IndexFilter.getRecord:2.148	Time_TS_IndexFilter.sortIdxList:1.539	Time_TS_IndexFilter.splitRecord:2.171	TransLenLazyCalculator.Time_ComputeTransLen:0.893	
Alg_ID:0220151413	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:0.9, bLF:false, bPF:false, index_impl:Count, }	Dataset_Name:WIKI_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:53449	Time_Total:16644.767	Time_QS_Total:466.548	Time_TS_Total:15952.251	Time_SearchPerQuery:164.260	Time_Prepare_Data:891.159	Time_Preprocess:0.0	Time_QS_Validation:440.413	Time_TS_Validation:15939.495	Time_BuildIndex:205.429	Time_QS_IndexFilter:13.296	Time_TS_IndexFilter:6.618	Num_Result:103	Num_QS_Result:103	Num_TS_Result:103	Num_QS_Retrieved:134	Num_TS_Retrieved:118	Num_QS_Verified:26845	Num_TS_Verified:14820	Len_SearchedAll:500	Len_IndexedAll:230584	Size_Index_InvList:918718	Size_Index_TransInvList:243523	Len_QS_Retrieved:4134	Len_TS_Retrieved:3579	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:467722	Len_TS_Verified:259237	Mem_Before_Index:224.085	Mem_After_Index:81.408	Space_Index:1162241	Num_InvFault:397	Num_QS_RecordFault:0	Num_TS_RecordFault:131	Num_TinvFault:391	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:3558929	Time_DataFactory.buildTokenIndex:247.719	Time_DataFactory.createRecordStore:272.901	Time_DataFactory.createRuleset:185.141	Time_QS_Pkduck:5.607	Time_SearchPerQuery_MAX:14093.178	Time_SearchPerQuery_MEAN:164.260	Time_SearchPerQuery_MIN:0.141	Time_SearchPerQuery_STD:1412.042	
Alg_ID:0220151431	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:0.9, bLF:false, bPF:false, index_impl:CountPosition, }	Dataset_Name:WIKI_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:53449	Time_Total:293.886	Time_QS_Total:27.931	Time_TS_Total:28.343	Time_SearchPerQuery:0.639	Time_Prepare_Data:904.669	Time_Preprocess:0.0	Time_QS_Validation:0.842	Time_TS_Validation:5.813	Time_BuildIndex:217.866	Time_QS_IndexFilter:23.420	Time_TS_IndexFilter:21.342	Num_Result:103	Num_QS_Result:103	Num_TS_Result:103	Num_QS_Retrieved:103	Num_TS_Retrieved:106	Num_QS_Verified:104	Num_TS_Verified:109	Len_SearchedAll:500	Len_IndexedAll:230584	Size_Index_InvList:1481979	Size_Index_TransInvList:454723	Len_QS_Retrieved:3011	Len_TS_Retrieved:613	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:519	Len_TS_Verified:622	Mem_Before_Index:224.079	Mem_After_Index:105.535	Space_Index:1936702	Num_InvFault:397	Num_QS_RecordFault:131	Num_TS_RecordFault:116	Num_TinvFault:391	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:3558929	Time_DataFactory.buildTokenIndex:247.246	Time_DataFactory.createRecordStore:268.915	Time_DataFactory.createRuleset:192.141	Time_QS_IndexFilter.getCommonTokenIdxLists:12.926	Time_QS_IndexFilter.getCommonTokenIdxLists.binarySearch:3.559	Time_QS_IndexFilter.getCommonTokenIdxLists.scan:1.477	Time_QS_IndexFilter.getRecord:2.505	Time_QS_IndexFilter.idxList.sort:1.039	Time_QS_IndexFilter.pruneSingleRecord:1.861	Time_QS_Pkduck:5.812	Time_SearchPerQuery_MAX:8.840	Time_SearchPerQuery_MEAN:0.639	Time_SearchPerQuery_MIN:0.190	Time_SearchPerQuery_STD:1.031	Time_TS_IndexFilter.findSegmentRanges:4.082	Time_TS_IndexFilter.getCommonTokenIdxLists:6.150	Time_TS_IndexFilter.getCommonTokenIdxLists.binarySearch:3.034	Time_TS_IndexFilter.getCommonTokenIdxLists.scan:1.123	Time_TS_IndexFilter.getIdxList:0.221	Time_TS_IndexFilter.getRecord:3.667	Time_TS_IndexFilter.sortIdxList:1.543	Time_TS_IndexFilter.splitRecord:2.208	TransLenLazyCalculator.Time_ComputeTransLen:0.738	
Alg_ID:0220151432	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:0.9, bLF:false, bPF:false, index_impl:Count, }	Dataset_Name:PUBMED_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:42783	Time_Total:339.349	Time_QS_Total:93.825	Time_TS_Total:70.273	Time_SearchPerQuery:1.708	Time_Prepare_Data:844.930	Time_Preprocess:0.0	Time_QS_Validation:73.087	Time_TS_Validation:61.407	Time_BuildIndex:156.339	Time_QS_IndexFilter:11.799	Time_TS_IndexFilter:6.529	Num_Result:101	Num_QS_Result:101	Num_TS_Result:101	Num_QS_Retrieved:117	Num_TS_Retrieved:105	Num_QS_Verified:12614	Num_TS_Verified:5250	Len_SearchedAll:500	Len_IndexedAll:209973	Size_Index_InvList:835912	Size_Index_TransInvList:46606	Len_QS_Retrieved:3193	Len_TS_Retrieved:2790	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:203744	Len_TS_Verified:106114	Mem_Before_Index:198.979	Mem_After_Index:41.032	Space_Index:882518	Num_InvFault:366	Num_QS_RecordFault:0	Num_TS_RecordFault:117	Num_TinvFault:372	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:2998380	Time_DataFactory.buildTokenIndex:245.018	Time_DataFactory.createRecordStore:241.693	Time_DataFactory.createRuleset:173.763	Time_QS_Pkduck:5.196	Time_SearchPerQuery_MAX:67.573	Time_SearchPerQuery_MEAN:1.708	Time_SearchPerQuery_MIN:0.150	Time_SearchPerQuery_STD:7.022	
Alg_ID:0220151433	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:0.9, bLF:false, bPF:false, index_impl:CountPosition, }	Dataset_Name:PUBMED_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:42783	Time_Total:233.757	Time_QS_Total:25.706	Time_TS_Total:22.672	Time_SearchPerQuery:0.556	Time_Prepare_Data:836.421	Time_Preprocess:0.0	Time_QS_Validation:0.717	Time_TS_Validation:2.532	Time_BuildIndex:166.301	Time_QS_IndexFilter:21.314	Time_TS_IndexFilter:18.911	Num_Result:101	Num_QS_Result:101	Num_TS_Result:101	Num_QS_Retrieved:101	Num_TS_Retrieved:101	Num_QS_Verified:103	Num_TS_Verified:103	Len_SearchedAll:500	Len_IndexedAll:209973	Size_Index_InvList:1303839	Size_Index_TransInvList:99886	Len_QS_Retrieved:2660	Len_TS_Retrieved:533	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:515	Len_TS_Verified:537	Mem_Before_Index:200.492	Mem_After_Index:50.881	Space_Index:1403725	Num_InvFault:366	Num_QS_RecordFault:117	Num_TS_RecordFault:105	Num_TinvFault:372	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:2998380	Time_DataFactory.buildTokenIndex:228.197	Time_DataFactory.createRecordStore:236.252	Time_DataFactory.createRuleset:174.832	Time_QS_IndexFilter.getCommonTokenIdxLists:11.870	Time_QS_IndexFilter.getCommonTokenIdxLists.binarySearch:2.966	Time_QS_IndexFilter.getCommonTokenIdxLists.scan:1.332	Time_QS_IndexFilter.getRecord:2.377	Time_QS_IndexFilter.idxList.sort:0.707	Time_QS_IndexFilter.pruneSingleRecord:1.662	Time_QS_Pkduck:5.161	Time_SearchPerQuery_MAX:8.988	Time_SearchPerQuery_MEAN:0.556	Time_SearchPerQuery_MIN:0.172	Time_SearchPerQuery_STD:0.933	Time_TS_IndexFilter.findSegmentRanges:3.231	Time_TS_IndexFilter.getCommonTokenIdxLists:5.850	Time_TS_IndexFilter.getCommonTokenIdxLists.binarySearch:3.013	Time_TS_IndexFilter.getCommonTokenIdxLists.scan:1.077	Time_TS_IndexFilter.getIdxList:0.213	Time_TS_IndexFilter.getRecord:2.635	Time_TS_IndexFilter.sortIdxList:1.381	Time_TS_IndexFilter.splitRecord:2.153	TransLenLazyCalculator.Time_ComputeTransLen:0.525	
Alg_ID:0220191435	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:0.9, bLF:false, bPF:false, index_impl:CountPosition, }	Dataset_Name:AMAZON_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:41021	Time_Total:303.217	Time_QS_Total:46.262	Time_TS_Total:45.185	Time_SearchPerQuery:1.009	Time_Prepare_Data:846.234	Time_Preprocess:0.0	Time_QS_Validation:0.803	Time_TS_Validation:16.899	Time_BuildIndex:188.024	Time_QS_IndexFilter:41.401	Time_TS_IndexFilter:26.759	Num_Result:102	Num_QS_Result:102	Num_TS_Result:102	Num_QS_Retrieved:104	Num_TS_Retrieved:124	Num_QS_Verified:105	Num_TS_Verified:133	Len_SearchedAll:500	Len_IndexedAll:211919	Size_Index_InvList:1275647	Size_Index_TransInvList:446309	Len_QS_Retrieved:2721	Len_TS_Retrieved:751	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:522	Len_TS_Verified:800	Mem_Before_Index:184.703	Mem_After_Index:45.072	Space_Index:1721956	Num_InvFault:381	Num_QS_RecordFault:352	Num_TS_RecordFault:154	Num_TinvFault:394	RecordPool.deallocate:0.621	RecordPool.getSpace:0.686	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:3397048	Time_DataFactory.buildTokenIndex:238.692	Time_DataFactory.createRecordStore:242.966	Time_DataFactory.createRuleset:161.623	Time_QS_IndexFilter.getCommonTokenIdxLists:25.339	Time_QS_IndexFilter.getCommonTokenIdxLists.binarySearch:10.674	Time_QS_IndexFilter.getCommonTokenIdxLists.scan:6.163	Time_QS_IndexFilter.getRecord:4.998	Time_QS_IndexFilter.idxList.sort:1.445	Time_QS_IndexFilter.pruneSingleRecord:3.091	Time_QS_Pkduck:7.169	Time_SearchPerQuery_MAX:18.465	Time_SearchPerQuery_MEAN:1.009	Time_SearchPerQuery_MIN:0.183	Time_SearchPerQuery_STD:2.325	Time_TS_IndexFilter.findSegmentRanges:4.976	Time_TS_IndexFilter.getCommonTokenIdxLists:10.450	Time_TS_IndexFilter.getCommonTokenIdxLists.binarySearch:5.559	Time_TS_IndexFilter.getCommonTokenIdxLists.scan:2.241	Time_TS_IndexFilter.getIdxList:0.247	Time_TS_IndexFilter.getRecord:2.349	Time_TS_IndexFilter.sortIdxList:1.684	Time_TS_IndexFilter.splitRecord:2.535	TransLenLazyCalculator.Time_ComputeTransLen:0.878	
Alg_ID:0220231437	Alg_Name:ExactPrefixSearch	Alg_Version:6.30	Param:{theta:0.8, bLF:false, bPF:false, index_impl:CountPosition, }	Dataset_Name:WIKI_n10000_r10000_q5_l1.0	Dataset_nt:10000	Dataset_nr:10000	Dataset_qlen:5	Dataset_lr:1.0	Dataset_numSearched:100	Dataset_numIndexed:10000	Dataset_numDoc:null	Dataset_numRule:53449	Time_Total:1703.291	Time_QS_Total:231.128	Time_TS_Total:563.018	Time_SearchPerQuery:8.208	Time_Prepare_Data:3484.179	Time_Preprocess:0.0	Time_QS_Validation:8.280	Time_TS_Validation:118.000	Time_BuildIndex:782.732	Time_QS_IndexFilter:192.103	Time_TS_IndexFilter:428.402	Num_Result:128	Num_QS_Result:126	Num_TS_Result:128	Num_QS_Retrieved:126	Num_TS_Retrieved:520	Num_QS_Verified:126	Num_TS_Verified:619	Len_SearchedAll:500	Len_IndexedAll:230584	Size_Index_InvList:1481979	Size_Index_TransInvList:454723	Len_QS_Retrieved:3486	Len_TS_Retrieved:3713	Len_QS_LF:0	Len_TS_LF:0	Len_QS_PF:0	Len_TS_PF:0	Len_QS_Verified:510	Len_TS_Verified:4304	Mem_Before_Index:223.960	Mem_After_Index:97.112	Space_Index:1936702	Num_InvFault:397	Num_QS_RecordFault:2948	Num_TS_RecordFault:3058	Num_TinvFault:391	RecordPool.deallocate:32.410	RecordPool.getSpace:33.401	RecordPool_QS.capacity:10000	RecordPool_TS.capacity:10000	Space_Recordstore:3558929	Time_DataFactory.buildTokenIndex:904.696	Time_DataFactory.createRecordStore:1258.497	Time_DataFactory.createRuleset:578.207	Time_QS_IndexFilter.getCommonTokenIdxLists:69.587	Time_QS_IndexFilter.getCommonTokenIdxLists.binarySearch:46.230	Time_QS_IndexFilter.getCommonTokenIdxLists.scan:10.568	Time_QS_IndexFilter.getRecord:67.722	Time_QS_IndexFilter.idxList.sort:4.362	Time_QS_IndexFilter.pruneSingleRecord:21.077	Time_QS_Pkduck:9.206	Time_SearchPerQuery_MAX:329.640	Time_SearchPerQuery_MEAN:8.208	Time_SearchPerQuery_MIN:0.220	Time_SearchPerQuery_STD:35.157	Time_TS_IndexFilter.findSegmentRanges:54.622	Time_TS_IndexFilter.getCommonTokenIdxLists:117.210	Time_TS_IndexFilter.getCommonTokenIdxLists.binarySearch:66.261	Time_TS_IndexFilter.getCommonTokenIdxLists.scan:44.968	Time_TS_IndexFilter.getIdxList:11.034	Time_TS_IndexFilter.getRecord:115.001	Time_TS_IndexFilter.sortIdxList:31.880	Time_TS_IndexFilter.splitRecord:9.111	TransLenLazyCalculator.Time_ComputeTransLen:11.010	
